,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
73,Bihar, SUPAUL,Horse-gram,Kharif     ,1287.0,4741.0,0.271461716937355
74,Bihar, VAISHALI,Tobacco,Whole Year ,4748.0,6368.0,0.7456030150753769
75,Bihar, VAISHALI,Arhar/Tur,Kharif     ,713.0,6368.0,0.11196608040201005
76,Chhattisgarh, BASTAR,Rice,Kharif     ,239376.0,311399.0,0.7687115244429172
77,Chhattisgarh, BASTAR,Maize,Kharif     ,20242.0,311399.0,0.06500342004951846
78,Chhattisgarh, BIJAPUR,Rice,Kharif     ,59639.0,63126.0,0.9447612711085766
79,Chhattisgarh, BIJAPUR,Maize,Kharif     ,702.0,63126.0,0.011120615911035072
80,Chhattisgarh, BILASPUR,Rice,Kharif     ,329117.0,352146.0,0.9346038290936146
81,Chhattisgarh, BILASPUR,Arhar/Tur,Kharif     ,4547.0,352146.0,0.012912257983904404
82,Chhattisgarh, DANTEWADA,Rice,Kharif     ,137791.0,195945.0,0.7032126361989334
83,Chhattisgarh, DANTEWADA,Small millets,Kharif     ,42971.0,195945.0,0.21930133455816683
84,Chhattisgarh, DHAMTARI,Rice,Kharif     ,168855.0,170104.0,0.9926574330997507
85,Chhattisgarh, DHAMTARI,Maize,Kharif     ,259.0,170104.0,0.0015225979400837134
86,Chhattisgarh, DURG,Rice,Kharif     ,462087.0,513743.0,0.8994516713609723
87,Chhattisgarh, DURG,Soyabean,Kharif     ,37298.0,513743.0,0.07260050258592331
88,Chhattisgarh, JANJGIRCHAMPA,Rice,Kharif     ,254778.0,260840.0,0.9767596994326023
89,Chhattisgarh, JANJGIRCHAMPA,Urad,Kharif     ,1458.0,260840.0,0.005589633491795737
90,Chhattisgarh, JASHPUR,Rice,Kharif     ,179402.0,240572.0,0.7457310077648271
91,Chhattisgarh, JASHPUR,Niger seed,Kharif     ,21364.0,240572.0,0.08880501471492942
92,Chhattisgarh, KABIRDHAM,Rice,Kharif     ,95739.0,158698.0,0.6032779241074242
93,Chhattisgarh, KABIRDHAM,Soyabean,Kharif     ,32684.0,158698.0,0.20595092565753823
94,Chhattisgarh, KANKER,Rice,Kharif     ,173596.0,216498.0,0.801836506572809
95,Chhattisgarh, KANKER,Small millets,Kharif     ,15445.0,216498.0,0.07134015094827666
96,Chhattisgarh, KORBA,Rice,Kharif     ,109207.0,131068.0,0.8332087160863063
97,Chhattisgarh, KORBA,Horse-gram,Kharif     ,5477.0,131068.0,0.041787469100009154
98,Chhattisgarh, KOREA,Rice,Kharif     ,67867.0,100238.0,0.6770586005307369
99,Chhattisgarh, KOREA,Small millets,Kharif     ,8900.0,100238.0,0.08878868293461561
100,Chhattisgarh, MAHASAMUND,Rice,Kharif     ,266738.0,287821.0,0.926749611737851
101,Chhattisgarh, MAHASAMUND,Urad,Kharif     ,10111.0,287821.0,0.03512947283207271
102,Chhattisgarh, NARAYANPUR,Rice,Kharif     ,29917.0,46610.0,0.6418579703926196
103,Chhattisgarh, NARAYANPUR,Small millets,Kharif     ,3663.0,46610.0,0.07858828577558463
104,Chhattisgarh, RAIGARH,Rice,Kharif     ,240388.0,284433.0,0.8451480665042382
105,Chhattisgarh, RAIGARH,Urad,Kharif     ,18116.0,284433.0,0.06369162509272834
106,Chhattisgarh, RAIPUR,Rice,Kharif     ,545965.0,564967.0,0.9663661771395498
107,Chhattisgarh, RAIPUR,Urad,Kharif     ,4325.0,564967.0,0.007655314381193946
108,Chhattisgarh, RAJNANDGAON,Rice,Kharif     ,274412.0,324080.0,0.8467415452974574
109,Chhattisgarh, RAJNANDGAON,Soyabean,Kharif     ,21001.0,324080.0,0.06480190076524316
110,Chhattisgarh, SURGUJA,Rice,Kharif     ,302922.0,458000.0,0.6614017467248908
111,Chhattisgarh, SURGUJA,Maize,Kharif     ,36184.0,458000.0,0.07900436681222707
112,Gujarat, AHMADABAD,Rice,Kharif     ,103500.0,214200.0,0.4831932773109244
113,Gujarat, AHMADABAD,other oilseeds,Kharif     ,50900.0,214200.0,0.2376283846872082
114,Gujarat, AMRELI,Groundnut,Kharif     ,217000.0,255700.0,0.8486507626124364
115,Gujarat, AMRELI,Sesamum,Kharif     ,15600.0,255700.0,0.06100899491591709
116,Gujarat, ANAND,Rice,Kharif     ,87700.0,140800.0,0.6228693181818182
117,Gujarat, ANAND,Bajra,Kharif     ,28000.0,140800.0,0.19886363636363635
118,Gujarat, BANAS KANTHA,Bajra,Kharif     ,132000.0,385400.0,0.34250129735339907
119,Gujarat, BANAS KANTHA,Castor seed,Kharif     ,78200.0,385400.0,0.20290607161390764
120,Gujarat, BHARUCH,Arhar/Tur,Kharif     ,66400.0,127200.0,0.5220125786163522
121,Gujarat, BHARUCH,Sugarcane,Whole Year ,20800.0,127200.0,0.16352201257861634
122,Gujarat, BHAVNAGAR,Groundnut,Kharif     ,101700.0,181200.0,0.5612582781456954
123,Gujarat, BHAVNAGAR,Bajra,Kharif     ,45700.0,181200.0,0.2522075055187638
124,Gujarat, DANG,Rice,Kharif     ,18000.0,52500.0,0.34285714285714286
125,Gujarat, DANG,Ragi,Kharif     ,10400.0,52500.0,0.1980952380952381
126,Gujarat, DOHAD,Maize,Kharif     ,120000.0,218000.0,0.5504587155963303
127,Gujarat, DOHAD,Rice,Kharif     ,35800.0,218000.0,0.16422018348623854
128,Gujarat, GANDHINAGAR,Castor seed,Kharif     ,30300.0,75700.0,0.4002642007926024
