,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
139,Gujarat, MAHESANA,Bajra,36700.0,158700.0,97100.0,0.6118462507876496
140,Gujarat, NARMADA,Arhar/Tur,17900.0,59400.0,29900.0,0.5033670033670034
141,Gujarat, NARMADA,Rice,12000.0,59400.0,29900.0,0.5033670033670034
142,Gujarat, NAVSARI,Rice,62600.0,96200.0,84600.0,0.8794178794178794
143,Gujarat, NAVSARI,Sugarcane,22000.0,96200.0,84600.0,0.8794178794178794
144,Gujarat, PANCH MAHALS,Maize,115100.0,230000.0,185500.0,0.8065217391304348
145,Gujarat, PANCH MAHALS,Rice,70400.0,230000.0,185500.0,0.8065217391304348
146,Gujarat, PATAN,Bajra,51200.0,140800.0,100100.0,0.7109375
147,Gujarat, PATAN,Castor seed,48900.0,140800.0,100100.0,0.7109375
148,Gujarat, PORBANDAR,Groundnut,83100.0,91400.0,89200.0,0.975929978118162
149,Gujarat, PORBANDAR,other oilseeds,6100.0,91400.0,89200.0,0.975929978118162
150,Gujarat, RAJKOT,Groundnut,306200.0,369000.0,325800.0,0.8829268292682927
151,Gujarat, RAJKOT,Sesamum,19600.0,369000.0,325800.0,0.8829268292682927
152,Gujarat, SABAR KANTHA,Maize,86900.0,288500.0,160300.0,0.555632582322357
153,Gujarat, SABAR KANTHA,Castor seed,73400.0,288500.0,160300.0,0.555632582322357
154,Gujarat, SURAT,Sugarcane,98900.0,210600.0,159600.0,0.7578347578347578
155,Gujarat, SURAT,Rice,60700.0,210600.0,159600.0,0.7578347578347578
156,Gujarat, SURENDRANAGAR,Sesamum,49700.0,161800.0,89400.0,0.5525339925834364
157,Gujarat, SURENDRANAGAR,Castor seed,39700.0,161800.0,89400.0,0.5525339925834364
158,Gujarat, TAPI,Rice,35400.0,92700.0,51800.0,0.5587918015102481
159,Gujarat, TAPI,Arhar/Tur,16400.0,92700.0,51800.0,0.5587918015102481
160,Gujarat, VADODARA,Arhar/Tur,78500.0,250900.0,133600.0,0.5324830609804703
161,Gujarat, VADODARA,Rice,55100.0,250900.0,133600.0,0.5324830609804703
162,Gujarat, VALSAD,Rice,58600.0,94500.0,67900.0,0.7185185185185186
163,Gujarat, VALSAD,Ragi,9300.0,94500.0,67900.0,0.7185185185185186
164,Haryana, AMBALA,Rice,81869.0,95723.0,91477.0,0.955642844457445
165,Haryana, AMBALA,Sugarcane,9608.0,95723.0,91477.0,0.955642844457445
166,Haryana, BHIWANI,Bajra,199982.0,234204.0,221296.0,0.9448856552407303
167,Haryana, BHIWANI,Rice,21314.0,234204.0,221296.0,0.9448856552407303
168,Haryana, FARIDABAD,Rice,9550.0,17125.0,13934.0,0.8136642335766423
169,Haryana, FARIDABAD,Bajra,4384.0,17125.0,13934.0,0.8136642335766423
170,Haryana, FATEHABAD,Rice,87580.0,97892.0,95449.0,0.9750439259592204
171,Haryana, FATEHABAD,Bajra,7869.0,97892.0,95449.0,0.9750439259592204
172,Haryana, GURGAON,Bajra,34026.0,41151.0,39177.0,0.9520303273310491
173,Haryana, GURGAON,Rice,5151.0,41151.0,39177.0,0.9520303273310491
174,Haryana, HISAR,Bajra,56801.0,120691.0,101534.0,0.8412723401082102
175,Haryana, HISAR,Rice,44733.0,120691.0,101534.0,0.8412723401082102
176,Haryana, JHAJJAR,Bajra,45629.0,99264.0,76643.0,0.7721127498388136
177,Haryana, JHAJJAR,Rice,31014.0,99264.0,76643.0,0.7721127498388136
178,Haryana, JIND,Rice,113883.0,160399.0,157084.0,0.9793327888577859
179,Haryana, JIND,Bajra,43201.0,160399.0,157084.0,0.9793327888577859
180,Haryana, KAITHAL,Rice,158671.0,170144.0,167881.0,0.9866995015986458
181,Haryana, KAITHAL,Bajra,9210.0,170144.0,167881.0,0.9866995015986458
182,Haryana, KARNAL,Rice,172698.0,186045.0,184285.0,0.9905399231368754
183,Haryana, KARNAL,Sugarcane,11587.0,186045.0,184285.0,0.9905399231368754
184,Haryana, KURUKSHETRA,Rice,119783.0,138271.0,128234.0,0.9274106645645146
185,Haryana, KURUKSHETRA,Sugarcane,8451.0,138271.0,128234.0,0.9274106645645146
186,Haryana, MAHENDRAGARH,Bajra,111683.0,112283.0,111919.0,0.9967581913557707
187,Haryana, MAHENDRAGARH,Moong(Green Gram),236.0,112283.0,111919.0,0.9967581913557707
188,Haryana, MEWAT,Bajra,26589.0,45792.0,39009.0,0.8518736897274634
189,Haryana, MEWAT,Jowar,12420.0,45792.0,39009.0,0.8518736897274634
190,Haryana, PALWAL,Rice,33070.0,53739.0,42269.0,0.7865609706172426
191,Haryana, PALWAL,Jowar,9199.0,53739.0,42269.0,0.7865609706172426
192,Haryana, PANCHKULA,Rice,9070.0,17489.0,14598.0,0.8346960946880897
193,Haryana, PANCHKULA,Maize,5528.0,17489.0,14598.0,0.8346960946880897
